crime_id,date_rptd,date_occ,time_occ,area,area_name,crim_cd,crim_cd_desc,vict_age,vict_sex,vict_descent,location,lat,lon
231319328,2023-10-22,2023-10-22,440,13,Newton,210,ROBBERY,50,F,H,41ST                         PL,34.0083,-118.2784
231319344,2023-10-22,2023-10-20,2200,13,Newton,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",58,M,B,1900 S  MAIN                         ST,34.0310,-118.2647
231516416,2023-10-22,2023-10-19,900,15,N Hollywood,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,40,F,B,12900    VANOWEN                      ST,34.1939,-118.4138
231221748,2023-10-22,2023-10-21,1930,12,77th Street,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),64,F,B,5700    RUTHELEN                     ST,33.9910,-118.3126
231319356,2023-10-22,2023-10-20,1922,13,Newton,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),26,M,H,4000 S  MAIN                         ST,34.0075,-118.2775
231114826,2023-10-22,2023-10-19,2230,11,Northeast,330,BURGLARY FROM VEHICLE,36,F,H,4600    KINGSWELL                    AV,34.1027,-118.2896
231221726,2023-10-22,2023-10-20,1,12,77th Street,121,"RAPE, FORCIBLE",25,F,B,74TH                         ST,33.9727,-118.2871
231015053,2023-10-22,2023-10-21,1200,10,West Valley,310,BURGLARY,0,M,O,5500    DONNA                        AV,34.1711,-118.5483
231015055,2023-10-22,2023-10-22,2100,10,West Valley,624,BATTERY - SIMPLE ASSAULT,12,F,H,17700    VENTURA                      BL,34.1624,-118.5185
231221772,2023-10-22,2023-10-22,2040,12,77th Street,753,DISCHARGE FIREARMS/SHOTS FIRED,0,X,X,73RD                         ST,33.9737,-118.2783
231016022,2023-10-22,2023-10-16,2000,10,West Valley,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",51,M,W,18700    VENTURA                      BL,34.1707,-118.5407
231818270,2023-10-22,2023-10-22,800,18,Southeast,626,INTIMATE PARTNER - SIMPLE ASSAULT,51,F,H,700 W  113TH                        ST,33.9322,-118.2870
231516419,2023-10-22,2023-10-22,1230,15,N Hollywood,210,ROBBERY,61,M,W,7200    WHITSETT                     AV,34.2012,-118.4052
231015031,2023-10-22,2023-10-22,1330,10,West Valley,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,41,F,O,17400    VENTURA                      BL,34.1660,-118.5095
230915557,2023-10-22,2023-10-20,2000,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,28,F,H,15000    VANOWEN                      ST,34.1976,-118.4574
231221731,2023-10-22,2023-10-21,2100,12,77th Street,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",44,F,B,68TH,33.9782,-118.2893
230915547,2023-10-22,2023-10-21,530,9,Van Nuys,626,INTIMATE PARTNER - SIMPLE ASSAULT,42,F,W,4700 N  SEPULVEDA                    BL,34.1560,-118.4659
231319374,2023-10-22,2023-10-22,600,13,Newton,310,BURGLARY,18,M,O,300 W  ADAMS                        BL,34.0289,-118.2686
230915556,2023-10-22,2023-10-20,1830,9,Van Nuys,624,BATTERY - SIMPLE ASSAULT,53,M,H,15400    SHERMAN                      WY,34.2013,-118.4688
